                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97796,                0.88497,                 1.1018,                0.89587,                0.79719,                0.87554,                0.60189,                 1.0766,                 0.8709,                 1.2156,             0.00047507,             0.00047507,             0.00047507
                      2,                 1.0604,                0.77844,                 1.1681,                0.87514,                 0.7706,                0.85026,                0.60158,                 1.0559,                0.85629,                 1.1961,             0.00094198,             0.00094198,             0.00094198
                      3,                 1.0429,                0.74069,                 1.1562,                0.90821,                0.84722,                0.90662,                 0.6476,                0.97178,                0.75498,                 1.1486,              0.0013995,              0.0013995,              0.0013995
                      4,                0.98906,                0.69311,                 1.1262,                0.91968,                 0.8643,                0.93124,                0.69787,                0.89686,                0.62812,                 1.0835,              0.0013866,              0.0013866,              0.0013866
                      5,                 0.9423,                0.62556,                 1.0979,                0.94584,                0.89129,                0.94994,                0.72746,                0.83542,                0.53967,                 1.0459,              0.0013724,              0.0013724,              0.0013724
                      6,                0.92775,                0.61844,                 1.1038,                  0.942,                0.90964,                 0.9553,                0.73317,                 0.8258,                0.51898,                  1.042,              0.0013583,              0.0013583,              0.0013583
                      7,                0.87271,                0.56096,                 1.0695,                0.96706,                0.88778,                0.95484,                0.73234,                0.83556,                0.52132,                 1.0443,              0.0013441,              0.0013441,              0.0013441
                      8,                0.86137,                0.54763,                 1.0572,                0.96437,                0.92002,                0.96648,                0.76294,                 0.7791,                0.46869,                 1.0092,                0.00133,                0.00133,                0.00133
                      9,                0.84286,                0.53476,                 1.0518,                0.96396,                0.91543,                0.96064,                 0.7494,                 0.7847,                0.47687,                 1.0143,              0.0013158,              0.0013158,              0.0013158
                     10,                0.83259,                0.51638,                 1.0432,                0.96798,                0.93116,                0.97449,                0.77212,                0.75168,                0.42518,                0.99222,              0.0013017,              0.0013017,              0.0013017
                     11,                0.81139,                 0.4977,                 1.0273,                0.96908,                0.93873,                0.97408,                0.76954,                0.75806,                0.41764,                0.99385,              0.0012875,              0.0012875,              0.0012875
                     12,                0.80494,                0.49015,                 1.0253,                0.96796,                0.93576,                0.97402,                  0.783,                0.73174,                0.42102,                0.98447,              0.0012734,              0.0012734,              0.0012734
                     13,                0.78868,                  0.477,                 1.0167,                0.96812,                0.93059,                0.97356,                0.78376,                0.70951,                0.40554,                0.96555,              0.0012592,              0.0012592,              0.0012592
                     14,                0.78319,                0.47333,                 1.0134,                0.97039,                0.94486,                0.97674,                0.78857,                0.71178,                 0.4004,                0.96928,              0.0012451,              0.0012451,              0.0012451
                     15,                0.76617,                0.46118,                 1.0072,                0.97484,                0.94377,                0.97792,                0.79316,                0.70094,                0.38514,                0.95662,              0.0012309,              0.0012309,              0.0012309
                     16,                 0.7607,                0.45226,                  1.003,                0.97319,                0.95033,                0.97904,                0.79401,                0.70469,                0.38515,                0.96561,              0.0012168,              0.0012168,              0.0012168
                     17,                0.74944,                0.44327,                 1.0035,                0.97249,                0.94243,                0.97857,                 0.7959,                   0.71,                0.38099,                0.95934,              0.0012026,              0.0012026,              0.0012026
                     18,                0.73957,                0.43733,                0.99041,                0.96943,                0.95222,                0.98118,                0.80568,                0.69044,                0.36746,                0.95452,              0.0011885,              0.0011885,              0.0011885
                     19,                 0.7366,                0.43009,                0.98883,                0.97336,                0.95773,                0.98216,                0.80405,                0.68126,                0.35663,                0.95158,              0.0011744,              0.0011744,              0.0011744
                     20,                 0.7344,                0.42963,                0.98989,                0.97286,                0.95556,                0.98217,                0.80214,                0.68326,                0.36525,                0.94464,              0.0011602,              0.0011602,              0.0011602
                     21,                0.72251,                0.41903,                0.98529,                0.97679,                0.95278,                0.98191,                0.81355,                0.66896,                0.35823,                0.95041,              0.0011461,              0.0011461,              0.0011461
                     22,                 0.7161,                0.41713,                0.97986,                0.97662,                0.95154,                0.98222,                0.81593,                 0.6675,                0.35154,                0.94403,              0.0011319,              0.0011319,              0.0011319
                     23,                0.71502,                0.41808,                0.98108,                0.98005,                0.96023,                0.98498,                0.81629,                0.66346,                0.34506,                0.94118,              0.0011178,              0.0011178,              0.0011178
                     24,                0.71038,                0.41375,                0.98066,                0.97878,                0.95379,                0.98325,                0.81258,                0.67215,                0.35708,                 0.9413,              0.0011036,              0.0011036,              0.0011036
                     25,                0.70814,                0.41318,                 0.9777,                0.96621,                0.96069,                0.98207,                0.81596,                0.65954,                0.34558,                0.94175,              0.0010895,              0.0010895,              0.0010895
                     26,                0.69674,                0.40344,                0.97068,                0.97509,                0.96139,                 0.9823,                0.81833,                 0.6621,                0.33974,                0.93469,              0.0010753,              0.0010753,              0.0010753
                     27,                0.69821,                0.39858,                 0.9705,                0.97979,                0.96314,                0.98404,                0.82225,                0.64836,                  0.332,                0.93126,              0.0010612,              0.0010612,              0.0010612
                     28,                0.68993,                0.39849,                0.96826,                0.97906,                0.96203,                0.98493,                0.81862,                0.64816,                0.33266,                0.92809,               0.001047,               0.001047,               0.001047
                     29,                0.67873,                0.38768,                0.96416,                0.97589,                0.96108,                0.98482,                0.82074,                0.65459,                0.33172,                  0.933,              0.0010329,              0.0010329,              0.0010329
                     30,                0.67651,                0.38585,                0.96115,                0.98156,                0.95472,                0.98325,                0.82499,                0.63578,                0.33131,                0.92566,              0.0010187,              0.0010187,              0.0010187
                     31,                0.67763,                0.38713,                0.96116,                0.97607,                0.96106,                0.98506,                 0.8224,                0.64391,                0.32751,                0.92386,              0.0010046,              0.0010046,              0.0010046
                     32,                0.66679,                0.38148,                0.96193,                0.98418,                0.95772,                0.98582,                0.82434,                0.63903,                0.32615,                0.92169,             0.00099044,             0.00099044,             0.00099044
                     33,                0.66444,                0.37765,                0.95935,                0.97507,                0.96399,                0.98564,                0.83213,                0.62848,                0.32028,                0.92042,             0.00097629,             0.00097629,             0.00097629
                     34,                 0.6564,                0.37358,                0.95351,                0.97873,                0.96296,                0.98586,                0.83314,                0.62076,                0.32063,                0.91888,             0.00096215,             0.00096215,             0.00096215
                     35,                0.66272,                0.37511,                0.95304,                0.97817,                0.96416,                0.98507,                0.82877,                0.62614,                0.32045,                0.91713,               0.000948,               0.000948,               0.000948
                     36,                 0.6521,                0.36911,                0.94853,                0.97957,                0.96482,                0.98685,                0.83348,                0.61303,                0.30914,                0.91614,             0.00093385,             0.00093385,             0.00093385
                     37,                0.64625,                 0.3651,                0.94883,                0.98392,                0.96063,                0.98698,                0.83445,                0.62419,                0.31229,                0.92145,              0.0009197,              0.0009197,              0.0009197
                     38,                0.64578,                 0.3629,                0.94977,                0.97843,                0.96787,                0.98719,                0.83451,                0.61405,                0.31006,                0.92115,             0.00090556,             0.00090556,             0.00090556
                     39,                0.63913,                0.35954,                0.94649,                  0.985,                0.96324,                0.98622,                0.83819,                0.61376,                0.30925,                0.91177,             0.00089141,             0.00089141,             0.00089141
                     40,                0.63635,                0.36115,                0.94192,                 0.9825,                0.96211,                0.98563,                 0.8356,                0.61469,                0.30885,                0.91572,             0.00087726,             0.00087726,             0.00087726
                     41,                0.63326,                0.34954,                0.94399,                0.97984,                0.96788,                0.98707,                 0.8396,                0.61118,                0.30214,                0.92426,             0.00086312,             0.00086312,             0.00086312
                     42,                 0.6262,                0.35397,                0.94231,                 0.9815,                 0.9655,                0.98606,                0.83905,                0.60372,                0.30445,                0.91609,             0.00084897,             0.00084897,             0.00084897
                     43,                0.62627,                0.35408,                0.94132,                0.98148,                0.96365,                0.98653,                 0.8422,                0.60278,                0.29936,                0.91937,             0.00083482,             0.00083482,             0.00083482
                     44,                0.62347,                 0.3483,                0.93995,                0.98235,                0.96887,                0.98656,                0.83832,                0.60016,                0.29781,                0.91811,             0.00082067,             0.00082067,             0.00082067
                     45,                0.61909,                0.34732,                0.93439,                 0.9818,                0.96626,                 0.9869,                0.84102,                0.59822,                0.29415,                0.90476,             0.00080653,             0.00080653,             0.00080653
                     46,                0.61273,                0.34002,                0.93079,                 0.9812,                0.96304,                0.98727,                0.84343,                0.60059,                0.29469,                 0.9031,             0.00079238,             0.00079238,             0.00079238
                     47,                0.61524,                0.34495,                0.93645,                0.97831,                 0.9723,                0.98592,                0.84138,                0.59985,                0.29367,                0.91901,             0.00077823,             0.00077823,             0.00077823
                     48,                0.60419,                0.33785,                0.92737,                0.98021,                0.96872,                0.98768,                0.84437,                0.59844,                0.29237,                0.91779,             0.00076409,             0.00076409,             0.00076409
                     49,                0.60151,                0.33556,                0.92986,                0.98288,                 0.9692,                0.98591,                0.84594,                 0.5934,                0.29203,                0.90721,             0.00074994,             0.00074994,             0.00074994
                     50,                0.59881,                0.33302,                0.92966,                0.98184,                0.97213,                0.98787,                0.84407,                0.59048,                0.28747,                0.90234,             0.00073579,             0.00073579,             0.00073579
                     51,                0.60067,                0.33269,                0.92972,                0.98189,                0.96722,                0.98592,                0.84418,                0.59133,                0.29259,                0.91594,             0.00072164,             0.00072164,             0.00072164
                     52,                0.59091,                0.32946,                0.92723,                0.98262,                0.96655,                0.98651,                0.84298,                0.59689,                0.29225,                0.91023,              0.0007075,              0.0007075,              0.0007075
                     53,                0.59136,                0.32731,                 0.9258,                0.98229,                0.97098,                0.98637,                 0.8454,                0.59046,                0.28519,                0.90576,             0.00069335,             0.00069335,             0.00069335
                     54,                0.58983,                0.32853,                0.92571,                0.98022,                0.97095,                0.98725,                0.84705,                0.58988,                0.28803,                 0.9147,              0.0006792,              0.0006792,              0.0006792
                     55,                0.58577,                0.32655,                0.92606,                0.98285,                0.97007,                0.98839,                0.84681,                0.58792,                0.28261,                0.91309,             0.00066506,             0.00066506,             0.00066506
                     56,                0.57772,                0.31951,                0.92095,                0.98335,                0.97131,                 0.9884,                0.85005,                0.58623,                0.28384,                0.90804,             0.00065091,             0.00065091,             0.00065091
                     57,                0.57369,                0.31826,                 0.9202,                0.98384,                0.97388,                  0.989,                0.84951,                0.58334,                0.27842,                0.90326,             0.00063676,             0.00063676,             0.00063676
                     58,                0.57185,                0.31482,                0.91627,                0.97913,                0.97652,                0.98769,                0.85181,                0.57856,                0.27799,                0.90151,             0.00062262,             0.00062262,             0.00062262
                     59,                0.57924,                0.31785,                0.92575,                0.98702,                0.96735,                0.98784,                0.85095,                0.58065,                0.27796,                0.91016,             0.00060847,             0.00060847,             0.00060847
                     60,                0.56433,                0.31059,                0.91368,                0.98398,                 0.9733,                0.98803,                0.85216,                0.57922,                0.27682,                0.90528,             0.00059432,             0.00059432,             0.00059432
                     61,                0.55918,                0.30858,                0.91137,                 0.9825,                 0.9728,                 0.9887,                0.85094,                0.57647,                 0.2748,                    0.9,             0.00058017,             0.00058017,             0.00058017
                     62,                0.55601,                0.31004,                0.90984,                0.98327,                 0.9668,                0.98777,                0.85024,                0.57971,                0.28148,                0.90516,             0.00056603,             0.00056603,             0.00056603
                     63,                0.56072,                0.30719,                 0.9162,                0.98166,                0.97118,                0.98809,                0.85505,                0.57328,                0.27492,                0.90008,             0.00055188,             0.00055188,             0.00055188
                     64,                0.55116,                0.30403,                0.90936,                0.98234,                0.97243,                 0.9885,                0.84977,                0.57714,                0.27427,                0.90568,             0.00053773,             0.00053773,             0.00053773
                     65,                0.56104,                0.32522,                0.92367,                0.98004,                0.97141,                0.98883,                0.84777,                0.58385,                0.28692,                0.92036,             0.00052359,             0.00052359,             0.00052359
                     66,                 0.5568,                0.31164,                0.91721,                0.98184,                0.97396,                0.98821,                0.85034,                0.57712,                0.27949,                0.91821,             0.00050944,             0.00050944,             0.00050944
                     67,                 0.5542,                0.30598,                0.91333,                0.98369,                0.97333,                0.98854,                 0.8501,                0.57789,                0.27531,                0.90645,             0.00049529,             0.00049529,             0.00049529
                     68,                 0.5488,                0.30497,                0.90871,                0.98331,                0.97128,                 0.9889,                0.84968,                0.57585,                0.27464,                0.90447,             0.00048114,             0.00048114,             0.00048114
                     69,                0.54158,                0.30047,                0.90617,                0.98466,                0.97236,                0.98858,                0.85348,                 0.5738,                0.27514,                0.90164,               0.000467,               0.000467,               0.000467
                     70,                0.54311,                0.30008,                0.91119,                0.98152,                0.97513,                0.98909,                 0.8515,                0.57718,                0.27447,                0.90892,             0.00045285,             0.00045285,             0.00045285
                     71,                 0.5308,                0.29315,                0.90523,                0.98151,                0.97545,                0.98918,                0.85278,                0.57851,                 0.2728,                0.90781,              0.0004387,              0.0004387,              0.0004387
                     72,                0.53185,                0.29252,                0.90181,                0.98243,                0.97476,                 0.9882,                0.85164,                0.57706,                0.27075,                0.90639,             0.00042456,             0.00042456,             0.00042456
                     73,                0.52999,                0.28955,                0.90338,                0.98331,                0.97234,                0.98841,                0.85275,                0.57192,                0.27198,                0.90255,             0.00041041,             0.00041041,             0.00041041
                     74,                0.52605,                 0.2881,                0.89907,                0.98278,                0.97453,                0.98773,                0.85324,                0.57251,                 0.2687,                 0.9062,             0.00039626,             0.00039626,             0.00039626
                     75,                0.52126,                0.28473,                0.89932,                0.98613,                0.96795,                0.98851,                 0.8533,                0.57345,                0.26974,                0.90533,             0.00038211,             0.00038211,             0.00038211
                     76,                0.52045,                0.28599,                0.90005,                0.98248,                0.97132,                0.98886,                0.85516,                0.57059,                 0.2684,                 0.9023,             0.00036797,             0.00036797,             0.00036797
                     77,                0.51831,                0.28397,                0.89694,                0.98076,                0.97498,                0.98797,                0.85442,                 0.5713,                0.26852,                0.90542,             0.00035382,             0.00035382,             0.00035382
                     78,                0.51454,                0.27998,                0.89626,                0.98207,                0.97409,                0.98754,                0.85584,                0.57078,                0.26659,                 0.9037,             0.00033967,             0.00033967,             0.00033967
                     79,                0.50817,                 0.2765,                0.89633,                0.98424,                0.97157,                0.98846,                0.85575,                0.56909,                0.26739,                0.90493,             0.00032553,             0.00032553,             0.00032553
                     80,                0.50559,                0.27443,                0.89283,                0.98253,                0.97287,                0.98815,                0.85621,                 0.5681,                0.26579,                0.90294,             0.00031138,             0.00031138,             0.00031138
                     81,                0.50498,                 0.2753,                0.89396,                 0.9848,                0.97154,                 0.9885,                0.85707,                0.56495,                0.26659,                0.90238,             0.00029723,             0.00029723,             0.00029723
                     82,                0.49872,                0.27359,                0.88898,                 0.9861,                0.97139,                0.98859,                 0.8545,                0.56845,                0.26471,                 0.9047,             0.00028308,             0.00028308,             0.00028308
                     83,                0.49867,                0.27171,                0.88858,                0.98377,                0.97411,                 0.9881,                0.85477,                0.56909,                0.26392,                0.90209,             0.00026894,             0.00026894,             0.00026894
                     84,                0.49618,                0.27029,                0.89067,                0.98648,                0.97177,                0.98883,                0.85839,                0.56859,                0.26274,                0.90218,             0.00025479,             0.00025479,             0.00025479
                     85,                0.47934,                0.26588,                0.88626,                0.98189,                0.97626,                0.98815,                0.85641,                0.56894,                0.26749,                0.90467,             0.00024064,             0.00024064,             0.00024064
                     86,                 0.4754,                0.26346,                0.88197,                0.98191,                 0.9751,                  0.988,                0.85808,                 0.5638,                0.26476,                0.90404,              0.0002265,              0.0002265,              0.0002265
                     87,                0.47127,                0.25886,                0.88144,                0.97914,                0.97748,                0.98866,                0.86053,                0.56464,                 0.2653,                0.90342,             0.00021235,             0.00021235,             0.00021235
                     88,                0.46631,                0.25702,                0.87751,                0.98581,                0.97168,                0.98875,                0.85908,                0.56507,                0.26324,                0.90224,              0.0001982,              0.0001982,              0.0001982
                     89,                0.46427,                0.25426,                 0.8786,                0.97993,                0.97647,                0.98875,                0.85908,                0.56422,                0.26142,                0.90415,             0.00018406,             0.00018406,             0.00018406
                     90,                0.46176,                0.25409,                0.88119,                0.98133,                0.97415,                0.98836,                0.85748,                0.56527,                0.26203,                 0.9057,             0.00016991,             0.00016991,             0.00016991
                     91,                0.42897,                0.21785,                0.84075,                0.97988,                0.97734,                0.98856,                0.85776,                0.56353,                0.25989,                0.90494,             0.00015576,             0.00015576,             0.00015576
                     92,                0.42141,                0.21362,                0.83656,                0.98497,                  0.971,                 0.9883,                0.85848,                 0.5634,                0.26138,                0.90532,             0.00014161,             0.00014161,             0.00014161
                     93,                0.41736,                0.21151,                0.83534,                0.98127,                0.97451,                0.98848,                0.85977,                0.56441,                0.26199,                0.90605,             0.00012747,             0.00012747,             0.00012747
                     94,                0.41526,                   0.21,                0.83415,                0.98396,                0.97326,                0.98813,                0.85947,                0.56384,                0.26219,                0.90568,             0.00011332,             0.00011332,             0.00011332
                     95,                0.40915,                0.20681,                  0.832,                0.98317,                0.97556,                0.98885,                0.86005,                0.56493,                0.26015,                0.90839,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.40682,                0.20695,                0.83328,                0.98447,                0.97422,                0.98878,                0.86059,                0.56414,                0.25914,                0.90817,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 0.4048,                0.20534,                0.83012,                0.98456,                0.97447,                0.98846,                0.86142,                0.56363,                0.25876,                0.90822,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.40278,                 0.2041,                0.83226,                0.98661,                0.97165,                0.98836,                0.86044,                0.56343,                0.25856,                0.90853,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                 0.3997,                0.20262,                0.83312,                0.98656,                0.97162,                 0.9884,                0.86066,                0.56355,                0.25904,                0.90846,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                 0.3991,                0.20102,                0.83259,                0.98521,                0.97316,                0.98857,                0.85984,                0.56334,                0.25965,                0.90835,             2.8437e-05,             2.8437e-05,             2.8437e-05
